epoch,train_step_acc,train_step_loss,train_epoch_loss,val_step_acc,val_step_loss,val_epoch_loss,lr,best_epoch,best_val_acc,time_stamp,train_step,val_step,train_epoch_acc,val_epoch_acc
0,0.011834319526627219,0.05191465524526743,0.0,0.0,0.0,0.0,3.001716571358865e-05,0,0.0,20250707_154927,1,0,0.0,0.0
0,0.011834319526627219,0.11356437276806351,0.0,0.0,0.0,0.0,3.00686584889956e-05,0,0.0,20250707_154927,2,0,0.0,0.0
0,0.01775147928994083,0.16540172960631241,0.0,0.0,0.0,0.0,3.0154465231254518e-05,0,0.0,20250707_154927,3,0,0.0,0.0
0,0.01775147928994083,0.2214328946446526,0.0,0.0,0.0,0.0,3.027456411912148e-05,0,0.0,20250707_154927,4,0,0.0,0.0
0,0.029585798816568046,0.27239109919621396,0.0,0.0,0.0,0.0,3.0428924610624488e-05,0,0.0,20250707_154927,5,0,0.0,0.0
0,0.04142011834319527,0.3166828945543639,0.0,0.0,0.0,0.0,3.061750745083036e-05,0,0.0,20250707_154927,6,0,0.0,0.0
0,0.047337278106508875,0.3741014130722136,0.0,0.0,0.0,0.0,3.084026468182775e-05,0,0.0,20250707_154927,7,0,0.0,0.0
0,0.05325443786982249,0.4304255423461192,0.0,0.0,0.0,0.0,3.1097139654922776e-05,0,0.0,20250707_154927,8,0,0.0,0.0
0,0.07100591715976332,0.4747981714779103,0.0,0.0,0.0,0.0,3.138806704504571e-05,0,0.0,20250707_154927,9,0,0.0,0.0
0,0.08284023668639054,0.53816968308398,0.0,0.0,0.0,0.0,3.171297286736304e-05,0,0.0,20250707_154927,10,0,0.0,0.0
0,0.11242603550295859,0.5811740181149816,0.0,0.0,0.0,0.0,3.20717744960928e-05,0,0.0,20250707_154927,11,0,0.0,0.0
0,0.1301775147928994,0.6245133467679899,0.0,0.0,0.0,0.0,3.2464380685516536e-05,0,0.0,20250707_154927,12,0,0.0,0.0
0,0.13609467455621302,0.6908437881244005,0.0,0.0,0.0,0.0,3.289069159318381e-05,0,0.0,20250707_154927,13,0,0.0,0.0
0,0.15384615384615385,0.7488817830057539,0.0,0.0,0.0,0.0,3.3350598805303e-05,0,0.0,20250707_154927,14,0,0.0,0.0
0,0.16568047337278108,0.800019419404882,0.0,0.0,0.0,0.0,3.384398536431134e-05,0,0.0,20250707_154927,15,0,0.0,0.0
0,0.1893491124260355,0.8468371312293781,0.0,0.0,0.0,0.0,3.43707257986184e-05,0,0.0,20250707_154927,16,0,0.0,0.0
0,0.20710059171597633,0.8902433863758336,0.0,0.0,0.0,0.0,3.493068615451398e-05,0,0.0,20250707_154927,17,0,0.0,0.0
0,0.22485207100591717,0.931714873342119,0.0,0.0,0.0,0.0,3.552372403023386e-05,0,0.0,20250707_154927,18,0,0.0,0.0
0,0.23668639053254437,0.9855082669907068,0.0,0.0,0.0,0.0,3.614968861217333e-05,0,0.0,20250707_154927,19,0,0.0,0.0
0,0.26627218934911245,1.0200278462742913,0.0,0.0,0.0,0.0,3.680842071323995e-05,0,0.0,20250707_154927,20,0,0.0,0.0
0,0.28402366863905326,1.0581551670322757,0.0,0.0,0.0,0.0,3.749975281333633e-05,0,0.0,20250707_154927,21,0,0.0,0.0
0,0.28402366863905326,1.0698125947861983,0.0,0.0,0.0,0.0,3.8223509101961315e-05,0,0.0,20250707_154927,22,0,0.0,0.0
0,0.28402366863905326,1.0698125947861983,8.218105841766704,0.25,0.277549147605896,0.0,3.8223509101961315e-05,0,0.0,20250707_154927,22,1,0.28402366863905326,0.0
0,0.28402366863905326,1.0698125947861983,8.218105841766704,0.3333333333333333,0.689864993095398,0.0,3.8223509101961315e-05,0,0.0,20250707_154927,22,2,0.28402366863905326,0.0
0,0.28402366863905326,1.0698125947861983,8.218105841766704,0.4166666666666667,1.0954922040303547,0.0,3.8223509101961315e-05,0,0.0,20250707_154927,22,3,0.28402366863905326,0.0
1,0.011834319526627219,0.02247444130259858,8.218105841766704,0.4166666666666667,1.0954922040303547,8.763937632242838,3.897950552292004e-05,0,0.4166666666666667,20250707_154927,23,3,0.28402366863905326,0.4166666666666667
1,0.020710059171597635,0.04627433754283296,8.218105841766704,0.4166666666666667,1.0954922040303547,8.763937632242838,3.976754982113048e-05,0,0.4166666666666667,20250707_154927,24,3,0.28402366863905326,0.4166666666666667
1,0.026627218934911243,0.07192055854571641,8.218105841766704,0.4166666666666667,1.0954922040303547,8.763937632242838,4.0587441591515277e-05,0,0.4166666666666667,20250707_154927,25,3,0.28402366863905326,0.4166666666666667
1,0.038461538461538464,0.09461321492166914,8.218105841766704,0.4166666666666667,1.0954922040303547,8.763937632242838,4.143897232996625e-05,0,0.4166666666666667,20250707_154927,26,3,0.28402366863905326,0.4166666666666667
1,0.05029585798816568,0.11129788252023551,8.218105841766704,0.4166666666666667,1.0954922040303547,8.763937632242838,4.232192548636832e-05,0,0.4166666666666667,20250707_154927,27,3,0.28402366863905326,0.4166666666666667
1,0.06804733727810651,0.12647526786172178,8.218105841766704,0.4166666666666667,1.0954922040303547,8.763937632242838,4.323607651966966e-05,0,0.4166666666666667,20250707_154927,28,3,0.28402366863905326,0.4166666666666667
1,0.07988165680473373,0.14587633003144573,8.218105841766704,0.4166666666666667,1.0954922040303547,8.763937632242838,4.4181192954984255e-05,0,0.4166666666666667,20250707_154927,29,3,0.28402366863905326,0.4166666666666667
1,0.08579881656804733,0.1712717685473741,8.218105841766704,0.4166666666666667,1.0954922040303547,8.763937632242838,4.515703444271142e-05,0,0.4166666666666667,20250707_154927,30,3,0.28402366863905326,0.4166666666666667
